,_RAJ2000,_DEJ2000,WDS,Name,HD,HIP,Date,PA,Sep,Dmag,Wave,FWHM,f_FWHM,SimbadName,_RA,_DE,Simbad plx,GAIA plx,V,R,J,H,K
718,17 36 34.0143,+48 27 27.842,17366+4827,BD+48 2541 ,160291, 86173,2007.4179,121.8,0.22899999999999998, 1.73,698,39, ,HIP  86173,264.14173,48.45773,,,,,,,
720,17 37 10.8300,+27 53 45.100,17372+2754,BD+27 2853 ,      , 86221,2007.4234,354.6,0.23800000000000002, 0.55,754,44, ,HIP  86221,264.29512,27.89586,9.7086,9.708636437154917,6.5999999046325675,,6.34499979019165,6.307000160217285,6.2290000915527335
724,17 37 31.0949,+24 18 35.967,17375+2419,HR 6571    ,160181, 86254,2007.4234,63.5,0.096, 1.08,754,44,a,HIP  86254,264.37956,24.30999,,,,,,,
728,17 41 58.6335,+15 57 08.761,17420+1557,ADS 10723  ,160910, 86623,2007.4234,111.2,1.406,     ,754,44, ,HIP  86623,265.49431,15.95243,10.121,10.120995328424831,6.9000000953674325,,5.202000141143799,4.7719998359680185,4.676000118255615
730,17 45 28.4815,+35 53 35.980,17455+3554,BD+35 3062 ,161712, 86908,2007.4262,76.8,0.612, 4.29,550,40, ,HIP  86908,266.36867,35.89333,10.9861,,,9.199999809265137,8.366000175476074,7.948999881744385,7.885000228881836
731,17 48 58.3167,+37 03 42.238,17490+3704,BD+37 2949 ,162338, 87204,2007.3222,326.1,0.13, 0.54,754,44, ,HIP  87204,267.24298999999996,37.06173,,,,,,,
735,17 52 58.6468,-07 55 10.271,17530-0755,ADS 10858  ,162756, 87533,2007.3223,51.4,1.1840000000000002,     ,754,44, ,HIP  87533,268.24436000000003,-7.9195199999999994,71.0957,,,8.399999618530272,6.425000190734862,5.7820000648498535,5.579999923706055
737,17 54 14.1685,+11 07 50.006,17542+1108,HR 6676    ,163151, 87655,2008.461,209.2,0.063, 1.46,550,40,c,HIP  87655,268.55904,11.130560000000001,11.43,,10.0,,8.797,8.485,8.408999999999999
739,18 04 55.4746,+85 28 15.761,18049+8528,BD+85 304  ,      , 88554,2007.418,41.5,0.363, 2.16,698,39, ,HIP  88554,271.23114,85.47104,,,,,,,
741,18 08 16.0465,+29 41 28.163,18083+2941,BD+29 3187 ,166181, 88848,2007.4234,241.9,0.115, 2.70,754,44, ,HIP  88848,272.06686,29.691159999999996,10.97,,9.8100004196167,,8.343000411987305,7.984000205993652,7.916999816894531
743,18 08 21.8139,+44 06 45.291,18084+4407,BD+44 2829 ,166409, 88852,2008.4665,180.1,0.061, 0.18,754,44,a,HIP  88852,272.09089,44.11258,25.23,,3.38,2.78,1.86,1.399,1.274
744,18 09 52.3643,-07 54 49.390,18099-0755,BD-07 4568 ,166185, 88996,2007.3223,19.6,0.82,     ,754,44, ,HIP  88996,272.46817999999996,-7.91372,22.3355,,,7.699999809265138,6.771999835968018,6.381999969482423,6.315000057220459
747,18 11 45.1211,+33 26 49.410,18118+3327,ADS 11149  ,166988, 89156,2007.4262,220.6,0.75, 2.39,550,40, ,HIP  89156,272.938,33.44706,58.4208,,10.58199977874756,9.597999572753906,7.310999870300293,6.7810001373291025,6.486000061035156
749,18 13 18.7880,+09 05 49.305,18133+0906,BD+09 3611 ,167065, 89301,2007.3224,162.5,0.7979999999999999,     ,754,44, ,HIP  89301,273.32828,9.09703,32.28,,10.36,9.845,7.968999999999999,7.374,7.191
751,18 15 21.7505,+57 20 07.734,18154+5720,BD+57 1856 ,168242, 89455,2007.418,276.1,0.285, 0.53,698,39, ,HIP  89455,273.84063,57.335480000000004,9.96,9.559636529433133,8.32,,7.382999999999999,7.185,7.107
