System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
101,1,1567.66,,20961.1,,0,0.36,,94.0,,10.8,,,,-4.9,,,,,,4.0,1946ApJnan103nan15G,DAO,PUB,JD,K1p,,015721054+17490311,2.2435,2.5820648394099996,9.619999885559082,,8.746999740600586,8.559000015258789,8.501999855041504,HD 11909
102,1,6.593,,46348.477,,0,0.2,,272.0,,59.3,,60.2,,5.0,,,,,,3.0,1986PASPnan98.1321P,DAO,PUB,JD,F2,,015836886+37451074,28.36,,4.54,4.36,4.23,4.125,4.12,BD +37 444
103,1,15011.5,,24155.68,,0,0.34,,356.1,,4.0,,,,-8.5,,,,,,1.0,1965ApJSnan11..429A,DAO,PUB,JD,A4V,,020157453+70542527,4.8184,4.8539853087400004,9.0,8.5,8.494999885559082,8.265000343322754,8.182999610900879,HD 12111
104,1,0.9715,,22772.565,,0,0.0,,0.0,,110.0,,,,-5.0,,,,,,3.0,1946ApJnan103nan76S,DAO,PUB,JD,A5V,G0V,020033739+27531920,1.9236,2.25185867638,10.68000030517578,10.520000457763672,9.928000450134276,9.789999961853027,9.736000061035156,HD 12211
105,1,0.7905,,45259.556,,1,0.0,,0.0,,109.2,,214.0,,3.5,,,,,,2.0,1986MNRAS.218..159M,DAO,PUB,JD,A8V,G,020012039-18122817,0.3557,-0.10240567905999999,8.920000076293945,,9.062000274658203,9.163000106811523,9.166999816894533,BD -18 349
106,1,3.0705,0.0007,41972.26,0.11,0,0.21,0.03,355.0,12.0,22.5,0.7,,,-41.5,0.6,1.37,,10.0,,2.0,1978ApJnan222..234B,DAO,PUB,JD,ON9V,,020230128+55372637,9.19,,2.1,1.16,-0.1,-0.7,-0.84,HD 12323
107,1,2.67,,36122.18,,0,0.29,,175.2,,141.0,,112.5,,2.5,,,,,,2.0,1960ApJnan131..119M,DAO,PUB,JD,B9.5V,B9.5V,020353953+42194701,18.0292,,5.019000053405762,,5.2210001945495605,4.73799991607666,4.739999771118164,HD 12534
108,1,15.2938,,21844.121,,0,0.61,,358.3,,34.5,,35.4,,11.5,,,,,,4.0,1931LicOB..15..117J,DAO,PUB,JD,Am,,020633925+22385394,7.3172,7.36090234834,7.118000030517577,,6.660999774932861,6.585999965667725,6.546999931335449,HD 12869
109,1,4.1212,,40088.46,,0,0.0,,0.0,,74.6,,79.4,,-33.9,,,,,,3.0,1969MmSAI..40..553M,DAO,PUB,JD,A7m,,021229326+79413587,3.884,4.36645388167,10.199999809265137,,10.998000144958496,10.907999992370604,10.878000259399414,HD 12881
110,1,0.1376,,43729.01,,2,0.0,,0.0,,57.0,,,,34.0,,,,,,1.0,1985PASPnan97..437T,DAO,PUB,JD,sd,,02065308+1517420,25.71,,3.0,2.859999895095825,2.7799999713897705,2.5299999713897705,2.6600000858306885,BD +14 341
111,1,31.3884,,32004.255,,0,0.53,,318.4,,33.3,,69.2,,15.2,,,,,,4.0,1960PDAOnan11..277E,DAO,PUB,JD,A5III,,020932627+34591427,11.22,,4.952,,3.42,2.92,2.67,HD 13161
112,1,14.732000000000001,,22243.157000000003,,0,0.04,,5.4,,56.5,,57.0,,-19.1,,,,,,3.0,1921PDAOnan.2..129H,DAO,PUB,JD,G5III,,021222280+30181104,11.22,,4.952,,3.42,2.92,2.67,HD 13480
113,1,2.2365,,22653.718999999997,,0,0.0,,0.0,,95.4,,101.0,,-19.8,,,,,,3.0,1936ApJnan.84nan85L,DAO,PUB,JD,F5V,,021222280+30181104,17.8901,,,4.699999809265137,3.608000040054321,3.125999927520752,2.9100000858306885,HD 13480
114,1,1650.0,,25200.0,,0,0.75,,270.0,,13.5,,,,27.3,,,,,,1.0,1936ApJnan.83..433C,DAO,PUB,JD,K0III,,021336342+51035695,2.5239,,7.0,,3.8250000476837163,2.950999975204468,2.684000015258789,HD 13530
115,1,693.5,,43928.5,,0,0.23,,86.0,,3.4,,,,-9.4,,,,,,4.0,1983Obsnan103..284G,DAO,PUB,MJD,K4II,,021641769+67170209,4.5635,,6.940000057220459,,4.5920000076293945,3.871999979019165,3.7030000686645512,HD 13725
116,1,1385.0,,41981.5,,0,0.06,,63.0,,11.5,,,,-56.0,,,,,,4.0,1977Obsnan.97..196G,DAO,PUB,MJD,K4,,021528677+52303991,90.845,,,4.5,3.5199999809265137,3.2869999408721924,3.0799999237060547,HD 13738
117,1,10.0201,,18911.3,,0,0.01,,61.0,,9.4,,,,-5.9,,,,,,4.0,1976ApJSnan30..273A,DAO,PUB,JD,G0V,,021703230+34132723,43.4677,,,5.199999809265137,4.8470001220703125,4.36299991607666,4.277999877929688,HD 13974
118,1,93.5,,23389.995,,0,0.45,,101.0,,19.4,,,,25.8,,,,42.0,,2.0,1930PDAOnan.6nan.1H,DAO,PUB,JD,F9V,,021801440+01452809,2.6755,2.62699429128,7.460000038146973,,5.166999816894531,4.5970001220703125,4.448999881744385,HD 14214
119,1,100.19,0.04,44428.7,0.5,0,0.0,,0.0,,5.56,0.18,,,10.38,0.13,,,57.0,,4.0,1985Obsnan105..126G,DAO,PUB,MJD,K0II-III,,022115484+59145248,0.1981,,7.46999979019165,,7.921999931335449,8.048000335693361,8.121000289916992,HD 14346
120,1,15.335,,42007.3,,0,0.68,,166.3,,31.3,,,,-46.0,,,,,,1.0,N1974,DAO,PUB,JD,ON8V,,022254293+41284773,8.0765,7.9885436824300005,6.789999961853027,,6.423999786376952,6.4000000953674325,6.359000205993652,HD 14633
121,1,4.3174,,31705.497000000003,,0,0.05,,90.0,,59.5,,,,13.9,,,,,,4.0,1949PDDOnan.1..493H,DAO,PUB,JD,A1s,,022233196+16521300,1.3001,1.6326651944600001,7.949999809265138,,7.577000141143799,7.5310001373291025,7.548999786376952,HD 14688
122,1,2.7277,,41920.455,,1,0.0,,0.0,,70.5,,223.7,,,,,,,,3.0,1986MNRAS.222..167H,DAO,PUB,JD,B5V,A5III,022558007+56061001,1.3001,1.6326651944600001,7.949999809265138,,7.577000141143799,7.5310001373291025,7.548999786376952,HD 14871
123,1,98.01,,41904.83,,0,0.0,,0.0,,,,33.1,,-13.2,,,,,,2.0,1986MNRAS.222..167H,DAO,PUB,JD,B5V,A5III,022558007+56061001,3.1741,,12.5,,12.140000343322756,11.770000457763672,11.59000015258789,HD 14871
124,1,0.2319,,35396.513999999996,,0,0.0,,0.0,,197.0,,,,107.0,,,,,,2.0,1983ApJnan267..239K,DAO,PUB,JD,em,,02253615+2805509,1.9849,2.14861851208,8.829999923706055,,6.5879998207092285,6.043000221252441,5.8979997634887695,GAIADR2 130692247044752768
125,1,855.0,,44145.5,,0,0.0,,0.0,,2.9,,,,16.2,,,,,,3.0,1985Obsnan105..201G,DAO,PUB,MJD,K2,,022519827+14291596,31.629,,6.179999828338622,,5.040999889373778,4.781000137329102,4.652999877929688,HD 14985
126,1,142.33,,37159.06,,0,0.29,,188.2,,17.8,,,,0.7,,,,,,3.0,1967RGOB..130..355B,DAO,PUB,JD,G5IV,,022433883-40502565,18.2931,,6.1560001373291025,,5.2210001945495605,5.027999877929688,5.00600004196167,HD 15064
127,1,10.9903,,37005.979,,0,0.18,,271.3,,46.5,,50.0,,-5.3,,,,,,3.0,N1965,DAO,PUB,JD,F4V,F4V,022751778+50341191,34.8568,,5.98799991607666,,5.089000225067139,4.63700008392334,4.584000110626222,HD 15138
128,1,19.3787,,46335.76,,0,0.39,,184.2,,24.0,,31.2,,8.8,,,,,,4.0,1986PASPnan98..468L,DAO,PUB,JD,F7V,G5V,023254141+15020440,12.6687,13.064124439,12.411999702453613,12.324999809265135,11.265000343322756,10.732999801635742,10.557000160217283,HD 15814
129,1,4.2319,,43119.59,,2,0.0,,0.0,,67.3,,,,55.2,,,,,,2.0,1978ApJnan223..260T,DAO,PUB,JD,DA,M1-2V,023507596+03435683,86.6753,,8.864999771118164,7.926000118255615,5.795000076293945,5.125999927520752,4.885000228881836,GAIADR2 2503828498910129664
130,1,1.5615,,30001.182,,0,0.05,,63.8,,37.8,,,,41.9,,,,,,2.0,1959MNRAS.119..526E,DAO,PUB,JD,K7Ve,M0Ve,023422566-43474687,3.7987,,6.521999835968018,,6.678999900817871,6.7820000648498535,6.809999942779541,HD 16157
131,1,2.0899,,20001.898999999998,,10,0.05,,230.5,,21.4,,,,12.0,,,,,,3.0,1981A&ASnan44nan59H,DAO,PUB,JD,B5V,,023720840+39534596,22.1261,,6.48,,5.681,5.58,5.479,HD 16219
132,1,1.1095,,21946.382,,0,0.06,,281.4,,22.4,,,,14.4,,,,,,3.0,1974PASPnan86..455M,DAO,PUB,JD,F6III,,023700524+24385000,4.9608,4.29076120635,8.539999961853027,,7.817999839782715,7.756999969482423,7.677000045776367,HD 16246
133,1,0.6847,,35440.214,,0,0.12,,80.0,,80.0,,,,26.0,,,,,,3.0,1958MmSAI..29..433M,DAO,PUB,JD,A4-5V,,024124157+60331176,17.9482,18.0262453343,6.482999801635742,,5.527999877929688,5.291999816894531,5.191999912261963,HD 16506
134,1,3.1662,,30000.0,,9,0.0,,0.0,,53.6,,,,42.6,,,,,,3.0,1963RGOBnan78..391B,DAO,PUB,JD,G0IV,,023824835-37592596,42.4864,,4.869999885559082,,4.0399999618530265,3.740000009536743,3.7699999809265137,HD 16589
135,1,975.9,,37661.8,,0,0.28,,76.0,,2.2,,,,16.4,,,,,,1.0,1976ApJSnan30..273A,DAO,PUB,JD,F5IV-V,,023933834-11521976,42.3953,,4.92,4.42,3.97,3.69,3.6,HD 16620
136,1,331.0,,15019.0,,0,0.67,,267.7,,21.4,,24.8,,-21.8,,,,,,3.0,N1941,DAO,PUB,JD,F9V,,024214916+40113820,7.5941,7.86771872003,5.945000171661378,,5.666999816894531,5.676000118255615,5.6459999084472665,HD 16739
137,1,2.5364,,25319.979,,10,0.0,,0.0,,55.1,,,,4.3,,,,,,3.0,1936ApJnan.84nan85L,DAO,PUB,JD,A5III,,024449697+67492867,3.4657,3.5216883612300003,8.380000114440918,,7.8979997634887695,7.821000099182129,7.767000198364258,HD 16769
138,1,1.4283,,19823.272,,10,0.0,,0.0,,87.0,,,,-23.0,,,,,,2.0,1950ApJnan112..184S,DAO,PUB,JD,B9V,,024554823+65433506,11.4477,,4.670000076293945,4.690000057220459,4.940000057220459,4.982999801635742,4.973999977111816,HD 16907
139,1,490.0,,42022.0,,0,0.14,,320.0,,8.8,,,,13.0,,,,,,1.0,1978ApJSnan36..241A,DAO,PUB,JD,B3V,,024327113+27422573,53.5579,,8.210000038146973,7.568999767303468,6.238999843597412,5.691999912261963,5.539000034332275,HD 16908
140,1,1214.0,,44185.5,,0,0.52,,117.0,,6.9,,,,32.2,,,,,,3.0,1985AJnan..90..609G,DAO,PUB,MJD,dK4,,024320920+19254528,20.4328,,5.210000038146973,,4.6599998474121085,4.295000076293944,4.238999843597412,HD 16909
141,1,12.9274,,33207.361000000004,,0,0.25,,78.6,,58.1,,66.1,,5.8,,,,,,3.0,1964AnApnan27nan11S,DAO,PUB,JD,F2V,F5V,024039613-54325968,0.9166,0.8139716099429999,8.630000114440918,,7.929999828338622,7.821000099182129,7.745999813079834,HD 16920
142,1,6.8636,,18216.701,,1,0.22,,334.0,,27.0,,,,4.5,,,,,,1.0,1946ApJnan104..396H,DAO,PUB,JD,B5V,F6IV,024542124+48083790,38.8,,,4.099999904632568,3.6579999923706055,3.438999891281128,3.463000059127808,HD 17034
143,1,1202.2,,17111.5,,0,0.46,,165.2,,14.4,,,,32.5,,,,,,1.0,1965ApJSnan11..429A,DAO,PUB,JD,F0IV,,024456542+10065092,15.3148,14.9920608479,6.260000228881836,,5.706999778747559,5.545000076293945,5.4730000495910645,HD 17094
144,1,1.1952,,41395.4828,,1,0.0,,0.0,,70.1,,,,-46.6,,,,,,3.0,1979A&ASnan38..155D,DAO,PUB,JD,A3V,,024855510+69380344,1.01,1.4991737671799998,,,,,,HD 17138
145,1,674.95,,45822.0,,0,0.66,,184.1,,26.6,,,,-6.0,,,,,,4.0,1986Obsnan106..197G,DAO,PUB,MJD,A0,,024738749+53563577,4.18,,,,5.29,5.399,5.405,HD 17198
146,1,3.8539999999999996,,20370.259,,0,0.04,,78.3,,24.8,,,,7.8,,,,,,2.0,1917PDOnan..4nan69Y,DAO,PUB,JD,B6IV,,024917560+17275151,11.6103,11.720994461099998,6.442999839782715,,6.2119998931884775,6.171000003814697,6.131999969482423,HD 17543
147,1,8.2504,,24854.892000000003,,0,0.23,,212.7,,12.9,,,,-5.8,,,,,,3.0,1926PDAOnan.4nan39H,DAO,PUB,JD,Am,,025145880+58185145,15.7163,,3.9600000381469727,3.3299999237060547,2.549999952316284,2.309000015258789,2.009999990463257,HD 17581
148,1,1515.6,,15693.4,,0,0.73,,234.6,,19.0,,,,2.2,,,,,,5.0,N1941,DAO,PUB,JD,G4III,A4V,025415460+52454492,6.5855,5.84977682885,7.679999828338622,,7.120999813079834,7.037000179290772,6.995999813079834,HD 17879
149,1,6.6383,,35793.98,,0,0.07,,199.0,,58.1,,,,8.2,,,,,,2.0,1960ZAnan..49..206W,DAO,PUB,JD,A4V,,025926782+59353187,2.5975,3.11477845778,9.609999656677246,9.619999885559082,8.87600040435791,8.638999938964844,8.569000244140625,HD 18337
150,1,2.6484,,19029.867,,10,0.0,,0.0,,33.0,,,,-50.0,,,,,,2.0,1946ApJnan104..253S,DAO,PUB,JD,A3V,G-KIV,030005712+39112484,3.3819999999999997,4.5419178364,8.75,,8.211999893188478,8.194000244140625,8.114999771118164,HD 18541
151,1,2.7807,,38372.949,,1,0.0,,0.0,,109.6,,117.6,,-8.0,,,,,,3.0,1971ApJnan169..549P,DAO,PUB,JD,Am,Am,025933533+03310327,15.9682,,5.9070000648498535,,5.5900001525878915,5.557000160217285,5.531000137329102,HD 18597
152,1,11.665,,36842.346,,10,0.29,,286.0,,4.5,,,,-7.4,,,,,,1.0,1961ApJSnan.6nan37A,DAO,PUB,JD,Am,,031142673+81281455,31.6592,,6.193999767303468,,5.184999942779541,4.961999893188477,4.826000213623047,HD 18778
153,1,363.1,0.14,43068.4,0.4,0,0.688,0.005,299.6,1.0,24.0,0.22,30.0,0.6,16.18,0.22,1.1,1.5,57.0,15.0,3.0,1980Obsnan100..113G,DAO,PUB,MJD,F8V,G5V,030209276-06294036,13.41,,2.9300000667572017,2.3399999141693115,1.5299999713897705,1.003000020980835,0.9800000190734864,HD 18894
154,1,5350.0,,32263.0,,0,0.72,,344.0,,12.7,,21.9,,2.5,,,,,,2.0,1948AJnan..53..200M,DAO,PUB,JD,G8III,A3V,030447791+53302318,1.6545,1.74735429075,8.640000343322754,,6.243000030517577,5.618000030517578,5.434999942779541,HD 18926
155,1,32.3301,,46827.389,,1,0.0,,0.0,,30.0,,99.2,,-5.7,,,,,,2.0,1989A&Anan215..272A,DAO,PUB,JD,Ashell,K1III,030745751+67343860,5.2806,5.28638923614,8.439999580383299,,7.798999786376952,7.658999919891357,7.625999927520753,BD +67 244
156,1,2.7284,,41267.6756,,1,0.0,,0.0,,98.9,,118.0,,36.4,,,,,,4.0,1983AJnan..88.1242P,DAO,PUB,JD,F2,,030359949-17441606,36.27,,2.1199998855590816,2.0799999237060547,2.1600000858306885,1.950000047683716,2.0799999237060547,HD 19115
157,1,2.8673,,28482.738999999998,,0,0.02,,62.0,,44.0,,201.0,,,,,,,,4.0,1971ApJnan168..443H,DAO,PUB,JD,B8V,Am,030810131+40572033,36.27,,2.1199998855590816,2.0799999237060547,2.1600000858306885,1.950000047683716,2.0799999237060547,HD 19356
158,1,680.0807,,34042.13,,0,0.23,,313.0,,12.0,,31.6,,3.7,,,,,,3.0,1971ApJnan168..443H,DAO,PUB,JD,B8V,Am,030810131+40572033,0.733,,7.079999923706055,,6.072999954223633,6.002999782562256,5.935999870300293,HD 19356
159,1,3.369,,24426.705,,0,0.1,,300.8,,141.7,,291.8,,-4.2,,,,,,3.0,1927PDAOnan.4nan67P,DAO,PUB,JD,O9IV,O9IV,031405335+59334847,8.6998,8.79139351298,8.239999771118164,,6.853000164031982,6.453999996185303,6.372000217437744,HD 19820
160,1,8.0382,,37898.775,,10,0.0,,0.0,,75.7,,74.8,,27.1,,,,,,4.0,1974JRASC..68nan23F,DAO,PUB,JD,G5IV,G5IV,031322368+48063128,3.1331,,9.010000228881836,,7.151000022888184,6.640999794006348,6.508999824523926,BD +47 781
161,1,877.0,,44703.5,,0,0.11,,78.0,,3.8,,,,-9.6,,,,,,3.0,1985MNRAS.212..663G,DAO,PUB,MJD,K0III,,031407275+00242875,6.5985,6.756336318130001,8.590000152587889,,7.752999782562256,7.622000217437744,7.548999786376952,HD 20126
162,1,9.1033,,26692.494,,1,0.0,,0.0,,67.4,,73.8,,21.5,,,,,,3.0,1968ApJnan154..191P,DAO,PUB,JD,F2,,031436510+02451640,16.2406,,6.2290000915527335,,5.703000068664551,5.651999950408936,5.585999965667725,HD 20173
163,1,5.5435,,26482.66,,11,0.03,,72.0,,62.7,,,,24.2,,,,,,4.0,1976PASPnan88..487A,DAO,PUB,JD,A9m,,031601861+34411865,6.2656,,14.529999732971193,13.5,17.211999893188473,15.66800022125244,15.369999885559082,HD 20210
164,1,0.5627,,44292.6268,,11,0.0,,0.0,,350.0,,,,115.0,,,,,,1.0,1981ApJnan243..567C,DAO,PUB,JD,em,,03141303-2235414,28.3381,,4.800000190734863,4.5900001525878915,4.400000095367432,4.260000228881837,4.224999904632568,GCVS EF Eri
165,1,17.9297,,43051.07,,0,0.14,,122.0,,21.5,,,,-5.8,,,,,,3.0,1985ApJSnan59..229A,DAO,PUB,JD,Am,,031550025-08491103,5.0623,5.09218185835,10.729999542236328,,9.156999588012695,8.79699993133545,8.729999542236326,HD 20320
166,1,0.8494,,17861.407,,1,0.0,,0.0,,51.0,,,,-12.0,,,,,,2.0,1947ApJnan106nan92S,DAO,PUB,JD,F2V,,032340400+46343584,2.0972,2.14049374039,6.5,5.83,4.864,4.49,4.357,BD +46 740
167,1,287.20099999999996,,43786.3,,0,0.0,,0.0,,10.8,,,,7.4,,,,,,4.0,1982A&Anan105..318L,DAO,PUB,JD,G0,,032338990+04525558,17.1066,,3.5999999046325684,2.9200000762939453,2.0799999237060547,1.277999997138977,1.5399999618530271,HD 21018
168,1,1654.9,,29974.34,,0,0.26,,155.6,,4.4,,,,-20.1,,,,,,4.0,1957ApJnan125..712J,DAO,PUB,JD,G8III,,032448794+09014393,19.8129,,6.37,,4.46,3.95,3.83,HD 21120
169,1,6.4379,,40133.766,,0,0.0,,0.0,,66.7,,59.4,,26.5,,,,,,3.0,1971PASPnan83..504C,DAO,PUB,JD,G5V,K0IV,032635389+28425432,5.6334,,4.96999979019165,,5.117000102996826,5.2230000495910645,5.2170000076293945,HD 21242
170,1,21.659000000000002,,41946.0,,0,0.17,,134.0,,25.0,,,,-0.5,,,,,,2.0,1978ApJSnan36..241A,DAO,PUB,JD,B5V,,032803070+49034632,4.3972,4.30387990956,9.050000190734863,,7.196000099182129,6.685999870300293,6.574999809265138,HD 21278
171,1,1.9968,,44912.96599999999,,10,0.0,,0.0,,124.0,,34.0,,28.0,,,,,,2.0,1986ApJnan300..788C,DAO,PUB,JD,sdBe,K2IVp,033106248+44123196,6.1081,,4.099999904632568,3.3299999237060547,2.369999885559082,1.8480000495910645,1.7100000381469729,HD 21629
172,1,960.0,,14889.565,,0,0.4,,326.3,,8.3,,,,14.2,,,,,,3.0,1924PDAOnan.3..145H,DAO,PUB,JD,K0II-III,,033052378+12561204,17.5938,17.425231448199998,5.776000022888184,,5.505000114440918,5.501999855041504,5.493000030517578,HD 21754
173,1,0.9172,,0.518,,2,0.0,,0.0,,95.7,,,,2.7,,,,,,4.0,1935PDAOnan.6..207H,DAO,PUB,JD,A5m,,033335035+39535812,7.659,,5.9679999351501465,,5.651000022888184,5.620999813079834,5.526000022888184,HD 21912
174,1,0.936,,43055.62,,12,0.0,,0.0,,28.1,,,,44.6,,,,,,2.0,1979A&ASnan36..283D,DAO,PUB,JD,A1V,,033036954-47223045,4.7212,5.0571830984199995,8.300000190734862,,8.059000015258789,7.886000156402588,7.826000213623048,HD 21981
175,1,2.6642,,35765.91,,1,0.0,,0.0,,18.9,,175.5,,11.7,,,,,,4.0,1973ApJnan185..265P,DAO,PUB,JD,A3V,,033225126-03184809,10.4882,,6.679999828338622,,,,,HD 21985
176,1,1.3264,,29146.807999999997,,0,0.02,,32.6,,63.7,,,,-4.9,,,,,,4.0,1940PDDOnan.1..197N,DAO,PUB,JD,F2IV-V,,033501201+32010037,2.5517,,11.15999984741211,,12.083000183105467,12.288999557495115,12.371000289916992,HD 22124
177,1,8.205,,40000.0,,0,0.0,,0.0,,61.0,,,,108.0,,,,,,1.0,1977MNRAS.178..409M,DAO,PUB,JD,sdO,,033314644-25521793,11.12,,4.300000190734863,,4.515999794006348,4.5320000648498535,4.551000118255615,CD -26 1339
178,1,6.2236,,24446.548,,0,0.2,,313.0,,107.0,,103.0,,15.0,,,,,,1.0,1926ApJnan.63..368S,DAO,PUB,JD,B8V,,033347276-21375838,4.96,,9.720000267028807,,8.607999801635742,8.166999816894531,8.079999923706055,HD 22203
179,1,7.1603,,22991.95,,9,0.21,,226.0,,27.0,,,,-5.0,,,,,,1.0,1945ApJnan101..232S,DAO,PUB,JD,A5,,033745203+40454938,27.0192,,,6.9000000953674325,5.877999782562256,5.51800012588501,5.413000106811523,HD 275604
180,1,1.9299,,41926.59,,0,0.04,,266.0,,77.8,,,,-19.4,,,,,,3.0,1979A&Anan.74..113C,DAO,PUB,JD,G2V,,033711038+25592794,33.7528,,,5.400000095367432,3.880000114440918,3.25,3.140000104904175,HD 22403
181,1,2.8377,,42763.952000000005,,10,0.0,,0.0,,49.4,,61.7,,-15.0,,,,,,4.0,1983ApJnan268..274F,DAO,PUB,JD,K1V,G5IV,033647289+00351593,7.0535,7.17853035087,7.260000228881836,,7.059999942779541,7.059000015258789,7.052000045776367,HD 22468
182,1,4.6739999999999995,,31306.0,,0,0.13,,162.0,,30.6,,,,5.9,,,,,,2.0,1975PDAOnan14..319P,DAO,PUB,JD,A0,,033913203+21503571,5.5006,,5.110000133514403,3.490000009536743,1.309999942779541,0.3400000035762787,0.10000000149011612,HD 22637
183,1,596.21,0.19,42794.5,25.0,0,0.08800000000000001,0.023,322.0,15.0,8.47,0.2,,,-22.28,0.14,0.8,,52.0,,4.0,1984Obsnan104..224G,PBX,PUB,MJD,S3.5/2,,034209325+63130050,5.7578,5.86402053825,6.102000236511231,,5.806000232696532,5.823999881744385,5.790999889373778,HD 22649
184,1,20.487,,21876.0,,0,0.61,,323.0,,34.2,,,,-5.2,,,,,,2.0,1975PDAOnan14..319P,DAO,PUB,JD,A2V,,034046310+25194617,6.0613,6.1580241553,6.3429999351501465,,5.126999855041504,4.489999771118164,4.2899999618530265,HD 22805
185,1,91.62899999999999,,44990.37,,10,0.0,,0.0,,26.0,,,,-9.1,,,,,,3.0,1985PASPnan97..637S,DAO,PUB,JD,G8III,,034011437-15133552,4.0747,,3.91,,,,,HD 22905
186,1,4.4192,,27325.619,,0,0.05,,344.0,,109.3,,159.4,,19.8,,,,,,5.0,1960ApJnan131..122L,DAO,PUB,JD,B1III,,034419132+32171769,8.7803,,5.390999794006348,,5.178999900817871,5.239999771118164,5.198999881744385,HD 23180
187,1,15.5132,,29186.817000000003,,0,0.22,,107.4,,22.2,,24.7,,16.0,,,,,,4.0,1940PDAOnan.7..199P,DAO,PUB,JD,A0,,034913738+70521578,8.06,,3.7000000476837163,3.7100000381469727,3.890000104904175,3.880000114440918,3.9219999313354488,HD 23277
188,1,100.46,,24472.86,,10,0.52,,0.0,,26.0,,,,-0.3,,,,,,2.0,1965ApJnan142.1604A,DAO,PUB,JD,B6III,,034452537+24064802,5.3099,,5.336999893188477,,5.541999816894531,5.625,5.5920000076293945,HD 23302
189,1,2.4079,,35000.0,,9,0.0,,0.0,,23.0,,,,17.0,,,,,,2.0,1963ApJnan137..791B,DAO,PUB,JD,B3V,,034540443+06025997,2.363,2.7730010898699997,6.653,,6.3660000000000005,6.412000000000001,6.412000000000001,HD 23466
190,1,1.9406,,0.0,,9,0.0,,0.0,,82.0,,114.0,,20.0,,,,,,3.0,1963ApJnan137..821B,DAO,PUB,JD,B2V,,034752666+33355954,7.1958,7.64868088848,7.3,,7.143,7.159,7.1370000000000005,HD 23625
191,1,7.345,,39877.367999999995,,0,0.03,,92.8,,14.4,,,,7.0,,,,,,3.0,1968AJnan..73..348C,DAO,PUB,JD,A2V,,034724418+23545290,7.166,7.571462789069999,6.81,,6.635,6.641,6.607,HD 23631
192,1,2.4611,,36168.013999999996,,0,0.02,,107.7,,98.1,,140.6,,5.0,,,,,,4.0,1958ApJnan128..139A,DAO,PUB,JD,A0V,A5,034729453+24171804,,,,,,,,HD 23642
193,1,1911.5,,20086.1,,0,0.21,,13.8,,5.2,,,,51.1,,,,,,3.0,1928MNRAS..88..644S,DAO,PUB,JD,K0IV,,034411977-64482485,10.5145,,5.6570000648498535,,4.173999786376953,3.7809998989105225,3.628000020980835,HD 23817
194,1,962.8,,42288.1,0.6,0,0.7240000000000001,0.005,108.8,0.9,20.2,0.2,,,18.4,,,,,,3.0,1987A&Anan175..136P,DAO,PUB,JD,G2III,F2:V,035004420+44580428,10.8041,,5.110000133514403,,4.9089999198913565,4.959000110626222,4.890999794006348,HD 23838
195,1,1.7653,,37640.03,,0,0.09,,260.6,,34.4,,,,-11.9,,,,,,2.0,1974PASPnan86..455M,DAO,PUB,JD,A2V,,034932690+33052898,8.53,,3.630000114440918,3.619999885559082,3.740000009536743,3.75,3.759999990463257,HD 23848
196,1,1254.68,,15870.6,,10,0.14,,213.0,,14.5,,,,-0.4,,,,,,1.0,1965ApJnan142.1604A,DAO,PUB,JD,B8III,,034909742+24031230,7.0699,7.24068054846,6.81,6.3,6.545,6.59,6.513999999999999,HD 23850
197,1,16.725,,38009.0,,13,0.0,,0.0,,32.4,,,,9.7,,,,,,2.0,1975PDAOnan14..319P,DAO,PUB,JD,B9.5V,,034958055+23505530,,21.026231804000002,,,,,,HD 23964
198,1,0.5212,,44970.71599999999,,1,0.0,,0.0,,147.0,,,,40.0,,,,,,4.0,1976ApJnan205..182Y,DAO,PUB,JD,wd,K2V,035024969+17144742,5.4868,5.563261474859999,6.789999961853027,,6.364999771118164,6.361000061035156,6.328999996185303,BD +16 516
199,1,8.2233,,31041.932,,10,0.0,,0.0,,35.2,,,,-31.3,,,,,,3.0,1956PDAOnan10..349P,DAO,PUB,JD,A1,(dG),035125294+25094655,2.4231,2.50765381271,7.449999809265138,,7.264999866485597,7.298999786376952,7.265999794006348,HD 24118
200,1,26.111,,35401.0,,10,0.0,,0.0,,13.0,,,,26.7,,,,,,2.0,1971AJnan..76..544L,DAO,PUB,JD,B2V,,035218959+34131960,19.3385,,8.789999961853027,,7.5370001792907715,7.168000221252441,7.102000236511231,HD 24190
201,1,18.7806,,36457.454,,0,0.2,,317.4,,31.7,,,,65.3,,,,,,3.0,1963RGOBnan78..391B,DAO,PUB,JD,G2V-VI,,034717424-64194633,8.0434,7.29836178515,,,7.322000026702881,7.198999881744385,7.10099983215332,HD 24202
