System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
322,1,1.8115,,38448.579,,0,0.04,,122.0,,209.0,,307.0,,13.0,,,,,,2.0,1977A&Anan.59nan.9M,DAO,PUB,JD,B0,B1,052752401+34465825,3.8565,,4.611000000000001,,5.08,5.19,5.1979999999999995,HD 35652
323,1,2.526,,37685.227,,0,0.04,,285.0,,139.1,,219.0,,26.3,,,,,,4.0,1985PASPnan97..428L,DAO,PUB,JD,B1III,B2V,052650228+03054443,2.7459,3.37213529765,9.479999542236328,,9.02400016784668,8.854000091552734,8.826000213623047,HD 35715
324,1,18.8006,,25498.84,,10,0.0,,0.0,,22.0,,,,17.0,,,,,,1.0,1950ApJnan111R.658S,DAO,PUB,JD,A3,,052809649+03372337,3.28,,6.85,,6.695,6.667000000000001,6.654,HD 244042
325,1,4.0026,,40945.651,,10,0.0,,0.0,,113.0,,301.7,,-2.5,,,,,,2.0,1974A&Anan.31nan.1A,DAO,PUB,JD,O9.5III,,052942651+35223009,2.2176,,8.829999923706055,,5.714000225067139,4.923999786376953,4.706999778747559,HD 35921
326,1,0.2044,,37614.009,,1,0.0,,0.0,,154.0,,,,50.0,,,,,,1.0,1980MNRAS.192..127B,DAO,PUB,JD,em,,053154148+30553771,0.01,,4.789999961853027,4.420000076293945,4.245999813079834,4.077000141143799,3.75,HD 36294
327,1,655.16,,20629.78,,0,0.17,,135.5,,20.5,,,,-0.2,,,,,,2.0,1916PDOnan..4nan.1Y,DAO,PUB,JD,B5Iab,,053243673+32113128,0.2436,0.1078405647,12.42,,,12.604000000000001,12.557,HD 36371
328,1,3.301,,45391.26,,12,0.0,,0.0,,224.0,,355.0,,254.0,,,,,,2.0,1986ApJnan310..715N,DAO,PUB,JD,O4f,O6V,05260619-6710568,2.1962,2.23904345824,9.489999771118164,,7.815999984741211,7.546000003814697,7.407000064849853,GAIADR2 4660192936738270720
329,1,16.789,,25878.62,,0,0.12,,219.0,,54.2,,,,28.6,,,,,,2.0,1971AJnan..76..544L,DAO,PUB,JD,dA7,,053118407-05421354,1.1374,,14.199999809265135,,13.295000076293945,12.963000297546387,12.803000450134276,HD 36412
330,1,0.3212,,44557.9495,,12,0.0,,0.0,,162.0,,181.0,,18.0,,,,,,2.0,1986ApJnan307..760S,DAO,PUB,JD,wd+,,05333347+3659326,4.71,,2.41,2.32,2.72,2.84,2.88,GAIADR2 189506567123759360
331,1,5.7324,,20024.212,,0,0.1,,358.7,,101.0,,,,20.1,,,,,,4.0,1914POMicnan1..118C,DAO,PUB,JD,O9.5II,,053200401-00175673,2.6531,,5.34,5.39,5.754,5.815,5.862,HD 36486
332,1,1.4854,,42041.683,,1,0.0,,0.0,,128.6,,285.6,,22.1,,,,,,2.0,1975A&ASnan22nan19D,DAO,PUB,JD,B1V,B5V-B9V,053331447-01092186,2.6531,,5.34,5.39,5.754,5.815,5.862,HD 36695
