Seq|Star|RAJ2000|DEJ2000|Dist|n_Dist|Age|Hmag|SpType|MA|l_MB|MB|l_rho|rho|l_Per|Per|x_Per|l_Ecc|Ecc|l_acrit|acrit|Ref|SimbadName
100|HIP 92919                |18 55 53.230|+23 33 23.93| 21.40| | 500| 5.760|K0        | 0.800| | 0.370|  |        | |    2.880|  | | 0.000|  | 0.100|J13                    |HIP 92919
101|HIP 94050                |19 08 50.450|-42 25 41.50| 33.84| | 400| 5.970|K1.5V     | 0.940|~| 0.700|  |        | |         |  | |      |< | 1.000|L05                    |HIP 94050
102|HIP 94863                |19 18 12.640|-38 23 04.45| 41.90| |4000| 6.840|G8V+K5V   | 0.830| | 0.630|  |        | |    2.500|  | | 0.000|  | 0.090|L05                    |HIP 94863
103|HIP 95149                |19 21 29.800|-34 59 00.50| 18.83| | 320| 5.000|G1V       | 0.890|<| 0.680|  |        | |         |  | |      |~ |20.000|B07                    |HIP 95149
104|HIP 97255                |19 45 57.350|+04 14 54.56| 31.00| | 125| 5.620|G0V       | 1.100| |      |  |        | | 3990.000|  | |      |  |21.100|B07                    |HIP 97255
105|2MASS J19560294-3207186  |19 56 02.938|-32 07 18.73| 55.00| |  24| 8.340|M4        | 0.200| | 0.100|  | 0.20000| |         |  | |      |  |42.000|L15                    |2MASS J19560294-3207186
106|HIP 100751               |20 25 38.900|-56 44 06.00| 54.82| |  30| 2.460|B7        | 5.820| | 0.260|  |        | |   11.700|  | | 0.000|  | 0.320|CH10                   |HIP 100751
107|HIP 101800               |20 37 49.120|+11 22 39.64| 57.90| | 320| 5.370|A2V       | 2.000| | 0.490|  |        | |   11.000|  | | 0.230|  | 0.400|R13, N13               |HIP 101800
108|TYC 5206-0915-1          |21 18 33.500|-06 31 44.00| 76.40| | 250| 8.170|K1IV      | 0.910| | 0.450|  |        | |         |  | |      |< |10.000|NLP                    |TYC 5206-0915-1
109|HIP 105404               |21 20 59.800|-52 28 40.10| 45.15| |  45| 6.700|K0V       | 0.900| | 0.800|  |        | | 1223.000|  | | 0.600|  |10.230|CH10, SONG             |HIP 105404
110|HIP 105441               |21 21 24.490|-66 54 57.37| 30.17| |4000| 6.500|K2.5Vk    | 0.850| | 0.420|  |        | |         |  | |      |< |10.000|K07                    |HIP 105441
111|HIP 107556               |21 47 02.440|-16 07 38.23| 11.87| | 540| 2.010|A5        | 1.500| | 0.560|  |        | |    1.000|  | | 0.010|  | 0.060|N13                    |HIP 107556
112|FS 1136                  |21 49 06.200|-64 12 55.00| 25.00| | 100| 9.800|M5        | 0.200| | 0.200|  | 0.08000| |         |  | |      |  | 7.300|CH10                   |[FS2003] 1136
113|HIP 108195               |21 55 11.400|-61 53 12.00| 46.47| |  45| 5.230|F1III     | 1.500| | 1.500|  | 0.27300| |10070.000|  | | 0.546|  |46.800|CH10                   |HIP 108195
114|HIP 109901               |22 15 35.200|-39 00 51.00| 56.10| | 100| 7.120|K0V       | 0.890| | 0.450|  |        | |         |  | |      |< |10.000|SONG                   |HIP 109901
115|GJ 860                   |22 27 59.470|+57 41 45.15|  4.00| |1000| 5.040|M2+M4     | 0.270| | 0.180|  | 2.41000| |   44.600|yr| | 0.410|  |34.500|H10                    |HD 239960
116|PPM 366328               |23 15 01.140|-63 34 24.54| 60.00| |4000| 7.170|K0        | 0.940| | 0.880|  |        | |         |  | |      |< | 1.000|K07                    |PPM 366328
117|HIP 116003               |23 30 13.400|-20 23 27.10| 15.20| |  42| 6.610|M3        | 0.300| | 0.200|  |        | |         |  | |      |< | 5.000|L15                    |HIP 116003
